Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201700012299,1.0,1,3,1,1.0,21.0,0.0,0.0,0.0,2000.0,A01
201700009081,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1990.0,B01
201700010435,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1999.0,B01
201700012933,2.0,2,2,1,4.0,13.0,0.0,0.0,0.0,1972.0,A01
201700009644,1.0,1,1,1,5.0,13.0,0.0,0.0,0.0,1978.0,A01
201700059142,9.0,2,4,1,5.0,33.0,0.0,0.0,0.0,2014.0,A01
201700048412,2.0,2,4,2,5.0,11.0,0.0,0.0,0.0,1995.0,A01
201700056823,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1981.0,A01
201700024349,8.0,2,1,2,5.0,11.0,0.0,0.0,0.0,1999.0,C01
201700028621,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1940.0,A01
201700048373,2.0,2,4,2,0.0,11.0,0.0,0.0,0.0,2010.0,B01
201700002156,2.0,2,4,1,4.0,13.0,0.0,0.0,0.0,1989.0,B01
201700011644,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,2001.0,A01
201700057966,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1982.0,A01
201700018152,2.0,2,2,2,5.0,13.0,0.0,0.0,0.0,2001.0,A01
201700049830,2.0,2,4,2,0.0,13.0,0.0,0.0,0.0,2000.0,B01
201700060539,,3,3,1,5.0,,6.0,2.0,1.0,1983.0,A01
201700017359,1.0,1,1,1,9.0,11.0,0.0,0.0,0.0,1988.0,A01
201700003361,1.0,1,3,1,5.0,13.0,0.0,0.0,0.0,1939.0,B01
201700024831,1.0,1,4,1,9.0,21.0,0.0,0.0,0.0,1997.0,B01
201700027377,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1968.0,A01
201700059410,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1954.0,A01
201700052688,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1972.0,A01
201700047648,4.0,2,4,1,0.0,31.0,0.0,0.0,0.0,2016.0,B01
201700036390,2.0,2,1,1,0.0,93.0,0.0,0.0,0.0,1993.0,A01
201700026077,1.0,1,3,1,9.0,21.0,0.0,0.0,0.0,1969.0,A01
201700011327,3.0,2,3,2,9.0,31.0,0.0,0.0,0.0,2014.0,B01
201700031464,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1983.0,C01
201700016660,2.0,2,1,2,5.0,21.0,0.0,0.0,0.0,1996.0,A01
201700013965,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1989.0,A01
201700024310,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1961.0,B01
201700027559,1.0,1,4,1,2.0,42.0,0.0,0.0,0.0,1999.0,A01
201700052027,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1984.0,A01
201700009669,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1994.0,B01
201700018202,1.0,1,3,2,0.0,11.0,0.0,0.0,0.0,1963.0,A01
201700030147,1.0,1,4,2,0.0,92.0,0.0,0.0,0.0,1981.0,A01
201700004771,1.0,1,1,2,4.0,11.0,0.0,0.0,0.0,1993.0,A01
201700005678,1.0,1,1,2,0.0,21.0,0.0,0.0,0.0,1965.0,A01
201700028952,1.0,1,4,1,1.0,11.0,0.0,0.0,0.0,1968.0,B01
201700010922,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1972.0,A01
201700007635,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1988.0,A01
201700058155,2.0,2,4,1,0.0,11.0,0.0,0.0,0.0,1975.0,C01
201700058520,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1987.0,B01
201700038955,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1980.0,A01
201700008526,1.0,1,3,2,5.0,11.0,0.0,0.0,0.0,1966.0,A01
201700027444,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1985.0,B01
201700050466,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1930.0,A01
201700055354,,3,4,2,5.0,,4.0,3.0,1.0,1969.0,A01
201700037423,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1938.0,A01
201700017756,9.0,2,3,2,9.0,11.0,0.0,0.0,0.0,1988.0,A01
201700006922,9.0,2,1,2,2.0,13.0,0.0,0.0,0.0,2003.0,A01
201700044589,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1982.0,A01
201700009439,1.0,1,1,1,5.0,13.0,0.0,0.0,0.0,1948.0,A01
201700003762,1.0,1,4,1,0.0,11.0,0.0,0.0,0.0,1998.0,A01
201700056528,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1978.0,A01
201700001292,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1997.0,A01
201700008668,1.0,1,1,1,9.0,11.0,0.0,0.0,0.0,1965.0,B01
201700036023,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1992.0,B01
201700007187,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1978.0,A01
201700060340,1.0,1,1,2,5.0,13.0,0.0,0.0,0.0,1993.0,B01
201700013665,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1946.0,B01
201700033177,1.0,1,4,2,5.0,21.0,0.0,0.0,0.0,1986.0,B01
201700054008,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1949.0,B01
201700021910,3.0,2,1,1,5.0,31.0,0.0,0.0,0.0,2014.0,B01
201700028383,1.0,1,4,1,0.0,11.0,0.0,0.0,0.0,1993.0,A01
201700015312,7.0,2,1,2,5.0,11.0,0.0,0.0,0.0,1979.0,B01
201700056524,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1991.0,A01
201700026902,2.0,2,1,2,0.0,11.0,0.0,0.0,0.0,2008.0,B01
201700039855,,3,3,1,1.0,93.0,0.0,9.0,1.0,1995.0,A01
201700020297,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1944.0,B01
201700014044,1.0,1,2,1,3.0,11.0,0.0,0.0,0.0,1946.0,A01
201700059995,1.0,1,1,2,9.0,13.0,0.0,0.0,0.0,1994.0,B01
201700000099,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1983.0,A01
201700015048,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1992.0,A01
201700051881,1.0,1,3,1,4.0,11.0,0.0,0.0,0.0,1991.0,A01
201700023611,1.0,1,3,2,0.0,11.0,0.0,0.0,0.0,2000.0,B01
201700022202,1.0,1,4,2,0.0,11.0,0.0,0.0,0.0,1982.0,B01
201700052631,1.0,1,1,1,0.0,93.0,0.0,0.0,0.0,1971.0,T01
201700053257,2.0,2,4,2,0.0,23.0,0.0,0.0,0.0,2006.0,A01
201700031913,2.0,2,3,1,9.0,11.0,0.0,0.0,0.0,1938.0,C01
