Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201800053812,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1986.0,A01
201800047492,1.0,1,1,1,5.0,11.0,,,,1996.0,A01
201800041584,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1979.0,A01
201800038867,2.0,2,4,2,2.0,11.0,,,,2001.0,A01
201800001512,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1953.0,B01
201800046788,2.0,2,4,2,9.0,11.0,,,,1980.0,B01
201800004294,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1991.0,B01
201800010140,1.0,1,4,2,1.0,21.0,,,,1972.0,A01
201800014254,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1943.0,A01
201800000255,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1947.0,B01
201800015434,1.0,1,3,1,1.0,11.0,0.0,0.0,0.0,1991.0,A01
201800048654,1.0,1,1,1,0.0,11.0,,,,1991.0,A01
201800018803,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1956.0,A01
201800038544,3.0,2,4,1,0.0,33.0,0.0,0.0,0.0,2017.0,B01
201800015341,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1998.0,A01
201800001916,1.0,1,1,1,0.0,12.0,0.0,0.0,0.0,1958.0,B01
201800036594,3.0,2,1,1,5.0,11.0,,,,1937.0,A01
201800041549,1.0,1,4,1,9.0,21.0,0.0,0.0,0.0,1979.0,B01
201800036190,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1946.0,A01
201800008628,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1996.0,A01
201800019291,2.0,2,3,2,0.0,11.0,0.0,0.0,0.0,2002.0,B01
201800022267,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1973.0,A01
201800018050,1.0,1,2,1,0.0,11.0,0.0,0.0,0.0,1946.0,A01
201800000093,1.0,1,3,2,5.0,11.0,0.0,0.0,0.0,1994.0,A01
201800028512,1.0,1,4,1,0.0,11.0,,,,1995.0,B01
201800006729,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1954.0,A01
201800005294,1.0,1,1,1,5.0,11.0,,,,1959.0,B01
201800028331,1.0,1,4,1,0.0,11.0,0.0,0.0,0.0,1958.0,C01
201800030123,1.0,1,1,1,5.0,11.0,,,,1963.0,A01
201800018996,1.0,1,4,1,2.0,21.0,0.0,0.0,0.0,2000.0,B01
201800029733,1.0,1,4,1,0.0,11.0,,,,1996.0,B01
201800017005,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1997.0,A01
201800052813,1.0,1,4,1,9.0,21.0,,,,1986.0,B01
201800037465,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,,B01
201800039306,4.0,2,1,1,0.0,11.0,,,,2000.0,A01
201800032722,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1960.0,A01
201800008228,,3,4,2,5.0,3.0,3.0,3.0,1.0,1999.0,A01
201800042367,1.0,1,4,2,0.0,11.0,,,,1974.0,B01
201800036709,1.0,1,4,2,9.0,11.0,,,,1992.0,A01
201800008548,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1994.0,A01
201800055196,2.0,2,1,2,5.0,11.0,,,,1996.0,B01
201800036380,,3,3,2,5.0,3.0,4.0,3.0,2.0,1939.0,A01
201800029641,1.0,1,1,2,1.0,11.0,,,,1994.0,A01
201800025975,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1964.0,A01
201800039589,1.0,1,4,1,0.0,11.0,,,,1996.0,A01
