Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
200700034421,1,1,1,2,3,11,0,0,0,1968.0,B01
200700081484,1,1,4,2,0,13,0,0,0,1979.0,A01
200700047722,1,2,1,2,0,11,0,0,0,1958.0,D04
200700059484,1,1,4,1,4,13,0,0,0,1958.0,A01
200700016615,1,1,4,1,4,21,0,0,0,1975.0,B01
200700063845,1,1,3,1,5,21,0,0,0,1955.0,B01
200700037695,1,1,3,1,5,11,0,0,0,1975.0,B01
200700062219,0,3,4,1,2,0,4,3,1,1995.0,A01
200700064786,1,1,1,2,9,13,0,0,0,1981.0,B01
200700032277,1,1,1,1,4,11,0,0,0,1957.0,B02
200700041922,1,1,4,1,1,21,0,0,0,1965.0,B01
200700009355,0,3,3,1,5,0,4,3,1,1927.0,A01
200700030728,1,1,1,2,9,11,0,0,0,1968.0,A01
200700081410,6,2,4,2,0,93,0,0,0,1997.0,B01
200700004130,1,1,1,2,5,11,0,0,0,1980.0,A01
200700011711,2,2,3,2,0,11,0,0,0,1950.0,B01
200700016011,1,1,4,1,4,21,0,0,0,1950.0,A01
200700083966,1,1,1,1,0,11,0,0,0,1985.0,D01
200700028638,0,3,3,1,0,0,0,3,0,2002.0,A01
200700000419,1,1,3,1,5,13,0,0,0,1964.0,B02
200700059697,0,3,4,1,9,0,2,3,1,1938.0,A01
200700059618,1,1,1,1,5,11,0,0,0,1983.0,A01
200700063866,1,1,4,1,5,21,0,0,0,1957.0,B01
200700012585,2,2,3,2,0,11,0,0,0,1987.0,A01
200700021776,4,2,4,2,0,11,0,0,0,1946.0,B01
200700018722,1,1,4,1,5,21,0,0,0,1987.0,B02
200700001918,1,1,1,1,1,13,0,0,0,1972.0,B01
200700063368,4,2,1,2,0,31,0,0,0,2005.0,B01
200700080557,1,1,1,1,5,11,0,0,0,1934.0,B01
200700002203,1,1,1,1,0,11,0,0,0,1963.0,A01
200700054933,1,1,4,1,0,21,0,0,0,1990.0,B01
200700019100,1,1,1,1,5,11,0,0,0,1952.0,B02
200700027760,4,2,4,2,0,11,0,0,0,1995.0,C01
200700006721,1,1,3,2,1,11,0,0,0,1985.0,A01
200700026494,1,1,3,1,5,21,0,0,0,1987.0,B02
200700040860,5,2,3,1,0,12,0,0,0,1997.0,A01
200700075719,3,2,1,1,0,11,0,0,0,1983.0,B02
