Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201300032471,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1996.0,B01
201300033822,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1979.0,B01
201300023900,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1985.0,B01
201300024074,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1951.0,A01
201300039640,,3,4,1,5.0,93.0,0.0,5.0,2.0,2004.0,A01
201300003199,,3,3,2,3.0,,4.0,3.0,1.0,1959.0,A01
201300053379,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1955.0,A01
201300049418,1.0,1,4,1,4.0,11.0,0.0,0.0,0.0,1953.0,A01
201300043084,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1955.0,B01
201300022684,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1932.0,A01
201300000151,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1961.0,A01
201300049862,2.0,2,4,2,5.0,11.0,0.0,0.0,0.0,1995.0,B01
201300049765,2.0,2,4,1,1.0,11.0,0.0,0.0,0.0,1990.0,A01
201300035258,1.0,1,3,1,5.0,13.0,0.0,0.0,0.0,1965.0,A01
201300005782,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1994.0,A01
201300008964,1.0,1,3,2,5.0,11.0,0.0,0.0,0.0,1943.0,B02
201300056496,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1947.0,B01
201300047524,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1960.0,B01
201300031813,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1962.0,A01
201300055209,1.0,1,4,1,9.0,21.0,0.0,0.0,0.0,1965.0,A01
201300002730,1.0,1,1,1,4.0,,0.0,0.0,0.0,1963.0,B02
201300047036,3.0,2,1,1,0.0,11.0,0.0,0.0,0.0,2006.0,D01
201300001204,2.0,2,4,2,0.0,11.0,0.0,0.0,0.0,1943.0,C03
201300014819,1.0,1,3,1,0.0,13.0,0.0,0.0,0.0,1985.0,A01
201300026176,,3,1,1,5.0,92.0,1.0,1.0,2.0,1959.0,A01
201300010227,2.0,2,4,2,4.0,21.0,0.0,0.0,0.0,1996.0,B01
201300021317,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1991.0,A01
201300028056,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1995.0,A01
201300004845,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1965.0,A01
201300021724,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1935.0,A01
201300025646,1.0,1,4,2,0.0,11.0,0.0,0.0,0.0,1964.0,B01
201300011158,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1985.0,B01
201300013632,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,1976.0,A01
201300053445,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1987.0,A01
201300039320,1.0,1,4,1,4.0,11.0,0.0,0.0,0.0,1963.0,C01
201300049764,1.0,1,4,2,2.0,11.0,0.0,0.0,0.0,1992.0,B01
201300021672,1.0,1,3,2,5.0,12.0,0.0,0.0,0.0,1988.0,A01
201300057103,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1992.0,A01
201300053220,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1952.0,B01
201300017571,1.0,1,3,1,0.0,21.0,0.0,0.0,0.0,1971.0,A01
201300053869,1.0,1,1,1,5.0,23.0,0.0,0.0,0.0,1985.0,A01
201300004055,2.0,2,3,2,0.0,11.0,0.0,0.0,0.0,1937.0,A01
201300017675,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1982.0,B01
201300032518,1.0,1,4,2,5.0,21.0,0.0,0.0,0.0,1995.0,A01
201300052099,1.0,1,1,1,9.0,13.0,0.0,0.0,0.0,1958.0,A01
201300007036,1.0,1,4,2,2.0,11.0,0.0,0.0,0.0,1981.0,B02
201300049222,4.0,2,1,2,5.0,11.0,0.0,0.0,0.0,2002.0,B01
201300034114,1.0,1,4,2,1.0,11.0,0.0,0.0,0.0,1961.0,A01
201300011522,1.0,1,2,2,5.0,12.0,0.0,0.0,0.0,1959.0,A01
201300010646,1.0,1,1,1,4.0,13.0,0.0,0.0,0.0,1984.0,A01
201300034679,,3,4,2,2.0,93.0,3.0,3.0,2.0,1968.0,A01
201300034239,3.0,2,1,1,4.0,41.0,0.0,0.0,0.0,1953.0,B01
201300029019,3.0,2,1,1,9.0,91.0,0.0,0.0,0.0,2000.0,A01
201300020289,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1970.0,B01
201300019995,1.0,1,4,1,2.0,11.0,0.0,0.0,0.0,1984.0,C01
201300037030,2.0,2,4,2,1.0,11.0,0.0,0.0,0.0,1967.0,A01
201300026744,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1960.0,B01
201300019923,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1989.0,B01
201300021634,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1925.0,A01
201300032740,1.0,1,1,2,9.0,11.0,0.0,0.0,0.0,1976.0,A01
201300043840,5.0,2,4,2,0.0,21.0,0.0,0.0,0.0,1986.0,A01
201300005557,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1998.0,A01
201300034698,,3,4,2,0.0,93.0,2.0,3.0,1.0,1961.0,A01
201300057773,,3,3,1,0.0,93.0,6.0,9.0,1.0,1956.0,A01
201300001395,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1994.0,B02
201300003981,2.0,2,1,2,0.0,21.0,0.0,0.0,0.0,1942.0,A01
201300047361,1.0,1,4,1,0.0,11.0,0.0,0.0,0.0,1988.0,A01
201300040009,1.0,1,1,1,5.0,21.0,0.0,0.0,0.0,1954.0,A01
201300011096,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1921.0,A01
201300010384,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1953.0,B01
201300018787,2.0,2,4,2,5.0,11.0,0.0,0.0,0.0,2000.0,A01
201300014495,9.0,2,4,1,0.0,93.0,0.0,0.0,0.0,1945.0,B01
201300003847,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1971.0,A01
201300007971,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1979.0,B02
201300015057,,3,4,2,9.0,93.0,0.0,0.0,0.0,1953.0,A01
201300051961,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1993.0,A01
201300020235,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1991.0,A01
201300000945,,3,2,2,5.0,,2.0,3.0,1.0,1931.0,A01
201300055599,1.0,1,1,2,0.0,13.0,0.0,0.0,0.0,1978.0,B01
201300044947,1.0,1,1,2,4.0,93.0,0.0,0.0,0.0,1964.0,A01
201300053394,1.0,1,1,1,4.0,13.0,0.0,0.0,0.0,1970.0,A01
201300055510,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1991.0,A01
201300011752,4.0,2,1,2,3.0,11.0,0.0,0.0,0.0,2009.0,B02
201300003075,4.0,2,1,1,4.0,11.0,0.0,0.0,0.0,2001.0,I09
201300040883,1.0,1,3,1,9.0,11.0,0.0,0.0,0.0,1989.0,A01
201300046735,1.0,1,4,2,0.0,11.0,0.0,0.0,0.0,1988.0,A01
201300022617,1.0,1,3,1,0.0,11.0,0.0,0.0,0.0,1948.0,A01
201300036838,1.0,1,3,2,5.0,11.0,0.0,0.0,0.0,1962.0,A01
201300056409,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,1983.0,A01
201300049913,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1976.0,B01
201300005386,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1989.0,A01
201300026540,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1938.0,B01
201300001589,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1967.0,C01
201300003125,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1928.0,B02
201300020188,2.0,2,1,2,0.0,11.0,0.0,0.0,0.0,2001.0,A01
201300019453,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1968.0,A01
201300017125,3.0,2,1,1,0.0,11.0,0.0,0.0,0.0,1995.0,B02
201300054538,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1963.0,A01
201300054600,1.0,1,4,1,4.0,21.0,0.0,0.0,0.0,1993.0,A01
201300015567,1.0,1,1,2,9.0,11.0,0.0,0.0,0.0,1958.0,B01
201300008753,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1977.0,B02
201300054863,1.0,1,1,1,5.0,13.0,0.0,0.0,0.0,1963.0,A01
201300028282,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1938.0,B01
201300033997,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1993.0,B01
201300023331,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1942.0,C03
201300032093,1.0,1,4,2,1.0,11.0,0.0,0.0,0.0,1985.0,B01
201300020886,1.0,1,1,1,9.0,11.0,0.0,0.0,0.0,1991.0,B01
201300012954,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1991.0,A01
201300036931,1.0,1,3,1,1.0,21.0,0.0,0.0,0.0,1996.0,B01
201300010898,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1973.0,A01
201300058222,1.0,1,4,1,9.0,11.0,0.0,0.0,0.0,1990.0,A01
201300044465,,3,3,1,3.0,93.0,4.0,3.0,1.0,1969.0,A01
201300000514,2.0,2,4,2,0.0,11.0,0.0,0.0,0.0,1977.0,B02
201300004866,,3,4,1,5.0,,3.0,3.0,1.0,1943.0,A01
201300022245,1.0,1,4,1,3.0,21.0,0.0,0.0,0.0,1992.0,B01
