Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201600014609,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1977.0,A01
201600013587,1.0,1,4,2,0.0,11.0,0.0,0.0,0.0,1945.0,A01
201600020977,,3,3,1,2.0,,7.0,9.0,1.0,2002.0,A01
201600059136,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,2001.0,A01
201600011386,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1977.0,A01
201600041414,2.0,2,4,1,0.0,13.0,0.0,0.0,0.0,1992.0,A01
201600043207,1.0,1,1,1,4.0,13.0,0.0,0.0,0.0,1974.0,B01
201600051384,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1969.0,A01
201600003027,1.0,1,3,2,5.0,11.0,0.0,0.0,0.0,1988.0,B02
201600051598,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1950.0,A01
201600058426,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1981.0,B01
201600013074,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1961.0,B01
201600058923,2.0,2,4,1,5.0,11.0,0.0,0.0,0.0,1969.0,A01
201600032058,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1983.0,A01
201600006509,1.0,1,4,1,0.0,11.0,0.0,0.0,0.0,1931.0,A01
201600013519,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1996.0,A01
201600046807,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1983.0,A01
201600056247,1.0,1,4,2,5.0,21.0,0.0,0.0,0.0,1992.0,A01
201600015610,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1973.0,A01
201600046117,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1965.0,C01
201600015276,1.0,1,4,1,5.0,23.0,0.0,0.0,0.0,1982.0,A01
201600049403,,3,3,1,1.0,,0.0,0.0,0.0,1960.0,A01
201600031836,,3,4,2,0.0,,0.0,0.0,0.0,1990.0,A01
201600037246,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1976.0,B01
201600013674,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1952.0,D01
201600001241,1.0,1,3,1,1.0,11.0,0.0,0.0,0.0,1960.0,B02
201600035339,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,2008.0,B01
201600004503,2.0,2,1,1,0.0,31.0,0.0,0.0,0.0,2016.0,B02
201600018861,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1951.0,A01
201600048693,1.0,1,1,1,4.0,13.0,0.0,0.0,0.0,1990.0,A01
201600002025,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1995.0,A01
201600005694,2.0,2,1,2,0.0,11.0,0.0,0.0,0.0,1977.0,B02
201600035016,,3,3,1,1.0,,2.0,3.0,1.0,1996.0,A01
201600047025,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1992.0,A01
201600057395,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1973.0,A01
201600034840,1.0,1,4,2,2.0,21.0,0.0,0.0,0.0,2000.0,B01
201600023316,2.0,2,1,2,0.0,11.0,0.0,0.0,0.0,1938.0,A01
201600009692,2.0,2,1,1,0.0,11.0,0.0,0.0,0.0,2005.0,B02
201600020718,2.0,2,4,2,3.0,11.0,0.0,0.0,0.0,1989.0,B01
201600057010,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1983.0,A01
201600023841,1.0,1,4,2,1.0,21.0,0.0,0.0,0.0,1966.0,B01
201600020877,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1978.0,A01
201600016295,1.0,1,2,1,5.0,12.0,0.0,0.0,0.0,1974.0,A01
201600039493,,3,4,2,0.0,93.0,3.0,3.0,0.0,2000.0,A01
201600034203,,3,3,1,0.0,,5.0,9.0,2.0,1990.0,A01
201600022949,1.0,1,4,2,9.0,13.0,0.0,0.0,0.0,1962.0,B01
201600051230,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1983.0,A01
201600008285,1.0,1,3,2,1.0,11.0,0.0,0.0,0.0,1952.0,A01
201600007125,1.0,1,3,2,1.0,11.0,0.0,0.0,0.0,1982.0,B02
201600051826,,3,4,2,0.0,,4.0,3.0,1.0,1990.0,A01
201600035110,,3,3,2,5.0,,8.0,3.0,1.0,1934.0,A01
201600013076,1.0,1,3,2,1.0,21.0,0.0,0.0,0.0,1976.0,B01
201600008581,1.0,1,4,2,2.0,11.0,0.0,0.0,0.0,1980.0,B02
201600000553,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1960.0,A01
201600014683,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,1988.0,A01
201600011642,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1994.0,D04
201600003894,1.0,1,1,2,5.0,13.0,0.0,0.0,0.0,1988.0,B02
201600039692,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1993.0,B01
201600045926,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1982.0,B01
201600035162,,3,3,2,3.0,,5.0,9.0,1.0,1934.0,A01
201600054717,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1994.0,A01
201600032100,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1975.0,A01
201600037433,1.0,1,1,1,2.0,11.0,0.0,0.0,0.0,1982.0,A01
201600031551,1.0,1,4,1,0.0,11.0,0.0,0.0,0.0,1943.0,A01
201600015112,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1957.0,B01
201600004844,,3,4,1,0.0,,3.0,3.0,1.0,1999.0,A01
201600017339,1.0,1,1,1,3.0,11.0,0.0,0.0,0.0,1993.0,A01
201600023548,,3,4,2,5.0,,3.0,3.0,1.0,1949.0,A01
201600058334,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1976.0,B01
201600010330,1.0,1,1,1,1.0,13.0,0.0,0.0,0.0,1989.0,A01
201600010594,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1962.0,A01
201600039751,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,1992.0,A01
