Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
200900063734,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,1992.0,A01
200900040465,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1988.0,B01
200900050509,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1966.0,A01
200900067947,1.0,1,4,1,5.0,43.0,0.0,0.0,0.0,1948.0,B01
200900056685,1.0,1,3,2,1.0,21.0,0.0,0.0,0.0,1986.0,B01
200900034942,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1969.0,A01
200900064448,,3,4,2,2.0,93.0,2.0,3.0,0.0,1993.0,A01
200900064438,1.0,1,1,1,3.0,11.0,0.0,0.0,0.0,1962.0,A01
200900004129,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1987.0,A01
200900049352,1.0,1,4,1,2.0,21.0,0.0,0.0,0.0,1991.0,A01
200900073592,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1963.0,A01
200900027685,1.0,1,1,2,2.0,11.0,0.0,0.0,0.0,1986.0,B02
200900060418,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1962.0,A01
200900054551,2.0,2,4,2,0.0,13.0,0.0,0.0,0.0,1980.0,B01
200900036694,2.0,2,1,1,5.0,21.0,0.0,0.0,0.0,1960.0,B01
200900055081,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1979.0,B01
200900052686,4.0,2,4,1,0.0,11.0,0.0,0.0,0.0,1931.0,A01
200900012571,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1959.0,A01
200900031477,3.0,2,1,2,5.0,93.0,0.0,0.0,0.0,2008.0,B01
200900031868,1.0,1,1,1,4.0,13.0,0.0,0.0,0.0,1974.0,B01
200900059823,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1969.0,B02
200900032078,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1936.0,B02
200900031016,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1994.0,A01
200900048778,1.0,1,1,1,4.0,13.0,0.0,0.0,0.0,1981.0,A01
200900020121,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1966.0,A01
200900022972,2.0,2,3,1,5.0,21.0,0.0,0.0,0.0,1995.0,A01
200900016398,,3,4,2,2.0,93.0,2.0,1.0,1.0,2000.0,A01
200900002397,,3,4,2,5.0,,3.0,3.0,1.0,1958.0,A01
